customer_hash,R,F,M,cluster_id,cluster_name
ec27cb0a,406,2,193.87,2,Loyal core (repeat buyers)
d05b3468,259,1,128.97,0,Recent one-time
64f0d956,258,1,32.85,0,Recent one-time
db115c4c,669,1,55.06,1,Lapsed one-time
bf4b8233,727,1,78.54,1,Lapsed one-time
8bd77ef4,833,1,28.3,1,Lapsed one-time
9a1a347f,388,2,124.08,2,Loyal core (repeat buyers)
a9e9ba9e,912,2,110.23,2,Loyal core (repeat buyers)
98873c09,327,4,288.36,2,Loyal core (repeat buyers)
6bbdb3b8,17,1,114.52,0,Recent one-time
654f07d5,382,1,54.36,0,Recent one-time
5f85f1d7,629,1,33.66,1,Lapsed one-time
257087fa,578,1,54.87,1,Lapsed one-time
3a745e83,219,1,62.33,0,Recent one-time
4b47237e,879,1,46.32,1,Lapsed one-time
adc039cd,760,1,84.33,1,Lapsed one-time
1bd8d6be,675,1,35.96,1,Lapsed one-time
a480e7b0,174,1,77.43,0,Recent one-time
ee23aeff,273,1,82.85,0,Recent one-time
f2e01ff8,639,1,166.09,0,Recent one-time
7b9b27f4,381,1,33.48,1,Lapsed one-time
86a43d6c,1063,1,125.31,1,Lapsed one-time
71fd0a2f,54,1,84.63,0,Recent one-time
0aecd1f0,519,1,53.89,1,Lapsed one-time
59b6416a,542,1,55.5,1,Lapsed one-time
d0a7ef1d,63,1,94.74,0,Recent one-time
2a543970,631,1,52.66,1,Lapsed one-time
6513e9f0,103,1,87.78,0,Recent one-time
a1410ecb,348,1,83.72,0,Recent one-time
238ab9fa,28,1,55.56,0,Recent one-time
41540703,232,1,79.82,0,Recent one-time
0f12fcb3,271,1,166.43,0,Recent one-time
b9051c88,290,1,55.62,0,Recent one-time
cecef9b7,239,1,55.66,0,Recent one-time
5d1703b0,495,1,80.69,0,Recent one-time
74cb18f4,314,1,134.7,0,Recent one-time
8a47d1c3,363,1,96.97,0,Recent one-time
1aa061d6,713,1,53.63,1,Lapsed one-time
ebb0d77e,604,1,56.21,1,Lapsed one-time
9ab75a8d,1041,1,52.92,1,Lapsed one-time
7ed37351,270,1,82.94,0,Recent one-time
